#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;19095
2;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery-1.5.2.min.js;200;OK;text/javascript;218
3;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery.ui.core.min.js;200;OK;text/javascript;219
4;GET;http://localhost:8081/desglosa-web/struts/js/plugins/jquery.subscribe.min.js;200;OK;text/javascript;256
5;GET;http://localhost:8081/desglosa-web/struts/js/struts2/jquery.struts2-3.1.0.min.js;200;OK;text/javascript;1091
6;GET;http://localhost:8081/desglosa-web/js/cufon-yui.js;200;OK;text/javascript;205
7;GET;http://localhost:8081/desglosa-web/js/arial.js;200;OK;text/javascript;230
8;GET;http://localhost:8081/desglosa-web/js/cuf_run.js;200;OK;text/javascript;200
9;GET;http://localhost:8081/desglosa-web/js/global.js?version=1;200;OK;text/javascript;238
10;GET;http://localhost:8081/desglosa-web/struts/themes/cupertino/jquery-ui.css;200;OK;text/css;218
11;GET;http://localhost:8081/desglosa-web/styles/style.css;jsessionid=A3742B8090499CDBF18D4E80048AE4C7?version=1;200;OK;text/css;212
12;GET;http://localhost:8081/desglosa-web/styles/messages.css?version=1;200;OK;text/css;219
13;GET;http://localhost:8081/desglosa-web/styles/login.css;jsessionid=A3742B8090499CDBF18D4E80048AE4C7?version=1;200;OK;text/css;235
14;POST;http://localhost:8081/desglosa-web/j_spring_security_check;jsessionid=A3742B8090499CDBF18D4E80048AE4C7;302;Movido temporalmente;;924
15;GET;http://localhost:8081/desglosa-web/login?result=success;200;OK;text/html;6195
16;GET;http://localhost:8081/desglosa-web/styles/style.css?version=1;200;OK;text/css;252
17;GET;http://localhost:8081/desglosa-web/styles/login.css?version=1;200;OK;text/css;272
