#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;16021
2;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery-1.5.2.min.js;200;OK;text/javascript;244
3;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery.ui.core.min.js;200;OK;text/javascript;218
4;GET;http://localhost:8081/desglosa-web/struts/js/plugins/jquery.subscribe.min.js;200;OK;text/javascript;254
5;GET;http://localhost:8081/desglosa-web/struts/js/struts2/jquery.struts2-3.1.0.min.js;200;OK;text/javascript;256
6;GET;http://localhost:8081/desglosa-web/js/cufon-yui.js;200;OK;text/javascript;220
7;GET;http://localhost:8081/desglosa-web/js/arial.js;200;OK;text/javascript;227
8;GET;http://localhost:8081/desglosa-web/js/cuf_run.js;200;OK;text/javascript;198
9;GET;http://localhost:8081/desglosa-web/js/global.js?version=1;200;OK;text/javascript;238
10;GET;http://localhost:8081/desglosa-web/struts/themes/cupertino/jquery-ui.css;200;OK;text/css;236
11;GET;http://localhost:8081/desglosa-web/styles/style.css;jsessionid=C23A89F434BF6230D2F5A32B6D8341D0?version=1;200;OK;text/css;208
12;GET;http://localhost:8081/desglosa-web/styles/messages.css?version=1;200;OK;text/css;224
13;GET;http://localhost:8081/desglosa-web/styles/login.css;jsessionid=C23A89F434BF6230D2F5A32B6D8341D0?version=1;200;OK;text/css;236
14;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;16024
15;GET;http://localhost:8081/desglosa-web/styles/style.css?version=1;200;OK;text/css;209
16;GET;http://localhost:8081/desglosa-web/styles/login.css?version=1;200;OK;text/css;214
17;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;16026
18;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;16023
19;POST;http://localhost:8081/desglosa-web/j_spring_security_check;302;Movido temporalmente;;179
20;GET;http://localhost:8081/desglosa-web/login?result=failed;200;OK;text/html;16054
