#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/desglosa-web/login;200;OK;text/html;16019
2;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery-1.5.2.min.js;200;OK;text/javascript;231
3;GET;http://localhost:8081/desglosa-web/struts/js/base/jquery.ui.core.min.js;200;OK;text/javascript;219
4;GET;http://localhost:8081/desglosa-web/struts/js/plugins/jquery.subscribe.min.js;200;OK;text/javascript;255
5;GET;http://localhost:8081/desglosa-web/struts/js/struts2/jquery.struts2-3.1.0.min.js;200;OK;text/javascript;256
6;GET;http://localhost:8081/desglosa-web/js/cufon-yui.js;200;OK;text/javascript;224
7;GET;http://localhost:8081/desglosa-web/js/arial.js;200;OK;text/javascript;223
8;GET;http://localhost:8081/desglosa-web/js/cuf_run.js;200;OK;text/javascript;199
9;GET;http://localhost:8081/desglosa-web/js/global.js?version=1;200;OK;text/javascript;238
10;GET;http://localhost:8081/desglosa-web/struts/themes/cupertino/jquery-ui.css;200;OK;text/css;237
11;GET;http://localhost:8081/desglosa-web/styles/style.css;jsessionid=708C7A9A5AF1C7289F0369187CCA9F1E?version=1;200;OK;text/css;209
12;GET;http://localhost:8081/desglosa-web/styles/messages.css?version=1;200;OK;text/css;226
13;GET;http://localhost:8081/desglosa-web/styles/login.css;jsessionid=708C7A9A5AF1C7289F0369187CCA9F1E?version=1;200;OK;text/css;237
14;POST;http://localhost:8081/desglosa-web/j_spring_security_check;jsessionid=708C7A9A5AF1C7289F0369187CCA9F1E;302;Movido temporalmente;;603
15;GET;http://localhost:8081/desglosa-web/login?result=success;200;OK;text/html;6182
16;GET;http://localhost:8081/desglosa-web/styles/style.css?version=1;200;OK;text/css;253
17;GET;http://localhost:8081/desglosa-web/styles/login.css?version=1;200;OK;text/css;256
18;GET;http://localhost:8081/desglosa-web/logout;302;Movido temporalmente;text/html;522
19;GET;http://localhost:8081/desglosa-web/;200;OK;text/html;6522
